,Nom_Resto,Nom_utilisateur,note
0,ASPIC,IsabelleC546,5
1,ASPIC,Corinne P,4
2,ASPIC,fran_oism742,5
3,ASPIC,VirginieLabille90,5
4,ASPIC,H1102KFdianeb,5
5,Il Etait Un Square,Mathis B,5
6,Il Etait Un Square,louanneg780,5
7,Il Etait Un Square,lucF2180WT,5
8,Il Etait Un Square,MAUXIONM,5
9,Il Etait Un Square,Laurie_mathieu_timmy,5
10,New Jawad Longchamp,Passport45952884066,5
11,New Jawad Longchamp,Charles C,5
12,New Jawad Longchamp,RachidL37,5
13,New Jawad Longchamp,Amanda M,5
14,New Jawad Longchamp,866alexiad,5
15,Restaurant Pizzamore,delore7,5
16,Restaurant Pizzamore,Maxime B,5
17,Restaurant Pizzamore,Mimolette84,5
18,Restaurant Pizzamore,micdouil,5
19,Restaurant Pizzamore,Karakal33,5
20,Mayfair Garden,grazianih2021,5
21,Mayfair Garden,nounettekenzo,5
22,Mayfair Garden,Lolo33,5
23,Mayfair Garden,684pa,5
24,Mayfair Garden,simaoalexandreesi,5
25,Bus Toqué,GuillaumeN261,5
26,Bus Toqué,martinesW1130ZU,5
27,Bus Toqué,Pierrick_Frngt,5
28,Bus Toqué,ericeL2020RU,4
29,Bus Toqué,125cac,3
30,Boutary,S4873KYhelend,5
31,Boutary,alexbnap,5
32,Boutary,91Bidou91,5
33,Boutary,PierEvi34,5
34,Boutary,redasais,5
35,Les Apotres de Pigalle,Climber58958718689,5
36,Les Apotres de Pigalle,901huberth,5
37,Les Apotres de Pigalle,Svlrd,5
38,Les Apotres de Pigalle,248margotd,5
39,Les Apotres de Pigalle,Getaway745724,5
40,La Table de Colette,YB1972,4
41,La Table de Colette,Sébastien A,3
42,La Table de Colette,299cclaire,5
43,La Table de Colette,artis644,4
44,La Table de Colette,ArnaudTr,5
45,Bao & ME,Cyanat,5
46,Bao & ME,Roving18449733310,5
47,Bao & ME,SteacreandO33,5
48,Bao & ME,Noémie J,5
